iteration,tot_theta_change,win,reward,epsilon
1.0,0.03348295941663234,0.0,-9.0,0.0
2.0,0.03961336886096154,1.0,0.0,0.0
3.0,0.047757699817514286,0.0,-3.0,0.0
4.0,0.05563421729073171,0.0,-8.0,0.0
5.0,0.06752236929195739,0.0,-8.0,0.0
6.0,0.07946501611750213,0.0,-7.0,0.0
7.0,0.08689305608617552,0.0,-9.0,0.0
8.0,0.10850016356133642,0.0,-8.0,0.0
9.0,0.12719358157189317,0.0,-9.0,0.0
10.0,0.09906871852805461,1.0,0.0,0.0
11.0,0.08444579057055716,0.0,-3.0,0.0
12.0,0.08915444419978533,0.0,-1.0,0.0
13.0,0.1015721394534357,0.0,-6.0,0.0
14.0,0.11545127480481139,1.0,0.0,0.0
15.0,0.10732667019073026,1.0,0.0,0.0
16.0,0.1031647738075133,0.0,-7.0,0.0
17.0,0.0989665438582312,0.0,-9.0,0.0
18.0,0.10911929463750249,1.0,0.0,0.0
19.0,0.11656529922299817,0.0,-1.0,0.0
20.0,0.1160878838998717,0.0,-4.0,0.0
21.0,0.12337357567180948,0.0,-8.0,0.0
22.0,0.14765852904897248,0.0,-9.0,0.0
23.0,0.15983104918400998,1.0,0.0,0.0
24.0,0.15910318238334906,0.0,-8.0,0.0
25.0,0.18341360601060108,0.0,-9.0,0.0
26.0,0.1787256805283631,0.0,-3.0,0.0
27.0,0.18290219202140304,0.0,-8.0,0.0
28.0,0.1878309555906047,0.0,-7.0,0.0
29.0,0.21007724000582725,0.0,-9.0,0.0
30.0,0.2122410258761096,0.0,-9.0,0.0
31.0,0.21902592007623345,1.0,0.0,0.0
32.0,0.2117861426265485,0.0,-8.0,0.0
33.0,0.23278443292218065,0.0,-7.0,0.0
34.0,0.22743571560919748,0.0,-1.0,0.0
35.0,0.21879400192434456,0.0,-3.0,0.0
36.0,0.2361332775083342,0.0,-6.0,0.0
37.0,0.24356781259088633,0.0,-2.0,0.0
38.0,0.25064912289222024,0.0,-9.0,0.0
39.0,0.2602755423330668,0.0,-1.0,0.0
40.0,0.2579060292666682,0.0,-9.0,0.0
41.0,0.25701783000203876,0.0,-5.0,0.0
42.0,0.2666179521816857,1.0,0.0,0.0
43.0,0.26047986108822874,0.0,-6.0,0.0
44.0,0.27068310391000977,1.0,0.0,0.0
45.0,0.26831492809155477,0.0,-6.0,0.0
46.0,0.27300718659107404,0.0,-8.0,0.0
47.0,0.2817137224752863,0.0,-6.0,0.0
48.0,0.2927063640342315,0.0,-7.0,0.0
49.0,0.3031601389429122,1.0,0.0,0.0
50.0,0.30812490678313703,1.0,0.0,0.0
51.0,0.3061146282632218,0.0,-8.0,0.0
52.0,0.3235309858343527,0.0,-8.0,0.0
53.0,0.32186665020481536,0.0,-9.0,0.0
54.0,0.3173958874162787,0.0,-8.0,0.0
55.0,0.31828267978082625,0.0,-8.0,0.0
56.0,0.3307940677042161,0.0,-4.0,0.0
57.0,0.3318177076877687,0.0,-6.0,0.0
58.0,0.33748197565368476,1.0,0.0,0.0
59.0,0.3285722268721005,1.0,0.0,0.0
60.0,0.32647633283175276,1.0,0.0,0.0
61.0,0.32007131211533846,1.0,0.0,0.0
62.0,0.3208995777802879,0.0,-8.0,0.0
63.0,0.3224154807716295,0.0,-9.0,0.0
64.0,0.3193194908777642,1.0,0.0,0.0
65.0,0.31691828278388706,0.0,-9.0,0.0
66.0,0.3214184738313283,0.0,-7.0,0.0
67.0,0.32736711403202123,0.0,-9.0,0.0
68.0,0.3197390423948124,1.0,0.0,0.0
69.0,0.30488429357791186,1.0,0.0,0.0
70.0,0.31379274540372765,0.0,-9.0,0.0
71.0,0.31462788561433885,0.0,-4.0,0.0
72.0,0.31438782162399415,1.0,0.0,0.0
73.0,0.31012114314185385,0.0,-9.0,0.0
74.0,0.312852231448348,0.0,-8.0,0.0
75.0,0.31325106759745863,0.0,-7.0,0.0
76.0,0.3229287809159894,0.0,-9.0,0.0
77.0,0.3176385657868131,0.0,-7.0,0.0
78.0,0.31134916449362643,1.0,0.0,0.0
79.0,0.3125131063206871,0.0,-9.0,0.0
80.0,0.3114357472494666,1.0,0.0,0.0
81.0,0.3127242628961566,1.0,0.0,0.0
82.0,0.31596440884277194,1.0,0.0,0.0
83.0,0.3103460136028044,1.0,0.0,0.0
84.0,0.3140094787871932,0.0,-9.0,0.0
85.0,0.31646878688736346,0.0,-7.0,0.0
86.0,0.3177683131444559,0.0,-2.0,0.0
87.0,0.31861789552579883,1.0,0.0,0.0
